iter	RMSE
0	41829.70309
1	41743.64568
2	41612.96621
3	41474.49411
4	41375.13713
5	41268.58112
6	41160.43355
7	41108.83714
8	40997.80274
9	40886.11323
10	40786.87567
11	40690.74624
12	40592.38358
13	40499.86278
14	40423.05258
15	40338.1343
16	40254.56364
17	40180.15496
18	40102.84745
19	40033.80203
20	39965.05883
21	39901.2002
22	39851.4737
23	39789.41667
24	39744.13874
25	39689.54187
26	39647.39125
27	39605.28269
28	39566.15491
29	39515.21443
30	39469.49197
31	39428.47669
32	39375.91837
33	39320.03201
34	39278.71917
35	39240.66828
36	39193.22884
37	39162.81647
38	39120.16165
39	39088.48589
40	39050.67365
41	39020.84682
42	39004.33249
43	38963.53074
44	38930.58395
45	38895.50523
46	38860.77023
47	38824.6507
48	38788.95268
49	38764.13575
50	38739.09503
51	38710.90415
52	38701.1852
53	38670.14432
54	38644.12792
55	38626.06404
56	38600.42521
57	38579.84523
58	38559.59137
59	38541.30173
60	38524.83064
61	38503.69659
62	38486.09501
63	38469.74683
64	38450.58088
65	38443.21471
66	38428.42929
67	38415.84237
68	38393.48732
69	38381.54358
70	38369.90527
71	38347.53204
72	38327.2033
73	38305.94751
74	38290.9332
75	38278.12103
76	38267.24579
77	38259.72975
78	38241.66642
79	38223.65622
80	38211.57504
81	38197.90088
82	38184.21811
83	38168.5441
84	38159.99619
85	38146.05584
86	38134.30616
87	38126.43463
88	38116.9407
89	38109.03251
90	38100.20084
91	38093.32299
92	38083.72472
93	38072.79768
94	38061.16842
95	38052.03626
96	38033.95755
97	38023.63387
98	38006.58767
99	37992.6581
100	37976.37842
101	37970.57196
102	37966.56429
103	37958.85984
104	37950.06488
105	37934.84528
106	37928.03928
107	37917.7623
108	37902.4777
109	37888.50382
110	37877.29696
111	37866.12563
112	37860.29802
113	37850.56513
114	37846.37864
115	37836.07699
116	37830.97352
117	37827.11313
118	37822.6293
119	37814.76143
120	37807.2376
121	37795.4881
122	37791.97271
123	37785.97966
124	37782.60485
125	37781.44205
126	37778.35927
127	37767.5977
128	37764.65211
129	37754.74446
130	37750.49605
131	37743.99654
132	37741.77183
133	37733.46698
134	37729.35023
135	37727.40257
136	37717.03105
137	37714.36515
138	37711.8519
139	37703.58242
140	37695.56674
141	37688.98127
142	37681.05636
143	37679.03927
144	37670.62877
145	37669.02545
146	37663.12402
147	37660.30829
148	37659.66818
149	37657.597
150	37648.4671
151	37642.98988
152	37635.81992
153	37633.31564
154	37625.69914
155	37623.50652
156	37616.87682
157	37615.12084
158	37612.45998
159	37607.2415
160	37605.82192
161	37599.10231
162	37590.81312
163	37590.04356
164	37583.93493
165	37577.12484
166	37574.74314
167	37570.66947
168	37565.1973
169	37561.26388
170	37558.87375
171	37557.69241
172	37556.77954
173	37552.50169
174	37549.11051
175	37545.74306
176	37538.46359
177	37534.33581
178	37533.44681
179	37529.57787
180	37525.88351
181	37523.04969
182	37522.255
183	37517.94028
184	37512.2424
185	37506.71718
186	37500.91735
187	37495.84231
188	37490.41168
189	37489.71522
190	37485.89331
191	37483.4208
192	37482.48122
193	37477.34938
194	37472.32515
195	37468.37055
196	37467.72521
197	37465.80997
198	37459.63682
199	37454.29612
200	37449.73429
201	37449.187
202	37443.82249
203	37437.23203
204	37435.98813
205	37430.48896
206	37426.82557
207	37420.78321
208	37418.6672
209	37418.21362
210	37416.71596
211	37411.99464
212	37406.88823
213	37402.73209
214	37399.71702
215	37398.93685
216	37393.15643
217	37391.22951
218	37385.60341
219	37381.48603
220	37377.46467
221	37374.89075
222	37370.33401
223	37367.23831
224	37363.94591
225	37361.3561
226	37359.56986
227	37358.00208
228	37357.6859
229	37357.60693
230	37353.73774
231	37351.22232
232	37346.2896
233	37342.93641
234	37338.45033
235	37333.75296
236	37329.90203
237	37325.86785
238	37322.27903
239	37318.77593
240	37314.44369
241	37312.329
242	37308.12716
243	37304.42975
244	37301.74482
245	37297.72263
246	37293.78368
247	37291.42803
248	37288.21285
249	37285.07295
250	37281.96116
251	37279.11319
252	37276.95762
253	37276.61549
254	37273.01605
255	37269.58468
256	37266.79314
257	37263.68846
258	37260.8595
259	37258.09429
260	37255.91862
261	37254.93846
262	37251.68168
263	37251.48307
264	37249.30022
265	37246.77909
266	37244.88356
267	37242.79008
268	37240.34747
269	37240.21569
270	37237.32783
271	37235.12688
272	37232.17894
273	37229.80792
274	37227.96466
275	37225.31612
276	37223.20425
277	37220.64805
278	37218.21166
279	37216.85734
280	37214.67846
281	37212.04724
282	37210.11511
283	37208.07456
284	37206.0418
285	37204.4384
286	37202.00628
