,salary_in_usd,experience_level_EX,experience_level_MI,experience_level_SE,employment_type_FL,employment_type_FT,employment_type_PT,company_size_M,company_size_S,work_year_2021,work_year_2022,remote_ratio_50,remote_ratio_100,job_title_Data Engineer,job_title_Data Scientist,job_title_Machine Learning Engineer
0,130000,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,90000,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
2,120000,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0
3,100000,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0
4,85000,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0
5,78000,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0
6,161000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
7,110000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
8,136000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
9,104000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
14,169000,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
15,110600,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
18,160000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
19,130000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
20,245000,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
21,180000,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
22,135000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
23,100000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
24,220000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
25,150000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
26,198440,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
27,144000,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
28,240000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
29,170000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
30,198440,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
31,144000,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
32,150000,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0
33,100000,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0
34,120000,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
35,95000,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
37,64000,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
41,150000,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
42,127000,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
43,275000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
44,166000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
45,159699,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
46,138938,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
48,166700,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
49,119000,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
50,130000,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
51,100000,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
54,80000,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
55,52500,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
56,236000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
57,182000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
58,180000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
