,device_brand,os,screen_size,4g,5g,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,days_used,normalized_used_price,normalized_new_price,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
0,10,0,14.5,1,0,13.0,5.0,64.0,3.0,3020.0,146.0,127,4.307572449,4.715100245,0,0,0,0,0,0,1
1,10,0,17.3,1,1,13.0,16.0,128.0,8.0,4300.0,213.0,325,5.162096647,5.519017936,0,0,0,0,0,0,1
2,10,0,16.69,1,1,13.0,8.0,128.0,8.0,4200.0,213.0,162,5.111083765,5.884630724,0,0,0,0,0,0,1
3,10,0,25.5,1,1,13.0,8.0,64.0,6.0,7250.0,480.0,345,5.135386588,5.630960854,0,0,0,0,0,0,1
4,10,0,15.32,1,0,13.0,8.0,64.0,3.0,5000.0,185.0,293,4.389994804,4.947837479,0,0,0,0,0,0,1
5,10,0,16.23,1,0,13.0,8.0,64.0,4.0,4000.0,176.0,223,4.413888608,5.060694494,0,0,0,0,0,0,1
6,10,0,13.84,1,0,8.0,5.0,32.0,2.0,3020.0,144.0,234,3.878259375,4.518958489,0,0,0,0,0,0,1
7,10,0,15.77,1,0,13.0,8.0,64.0,4.0,3400.0,164.0,219,4.729421148,5.18872569,0,0,0,0,0,0,1
8,10,0,15.32,1,0,13.0,16.0,128.0,6.0,4000.0,165.0,161,4.886054204,5.299916088,0,0,0,0,0,0,1
9,10,0,16.23,1,0,13.0,8.0,128.0,6.0,4000.0,176.0,327,4.773223771,5.073610093,0,0,0,0,0,0,1
10,10,0,15.47,1,0,13.0,8.0,64.0,3.0,3020.0,150.0,268,4.26703657,4.713665782,0,0,0,0,0,0,1
11,10,0,15.32,1,0,13.0,8.0,64.0,4.0,5000.0,185.0,344,4.657383057,4.770176021,0,0,0,0,0,0,1
12,10,0,16.69,1,1,13.0,16.0,128.0,8.0,4100.0,206.0,537,5.383255763,6.213967894,0,0,0,0,0,1,0
13,10,0,15.32,1,0,13.0,16.0,64.0,4.0,4000.0,171.5,336,4.617592706,5.398750764,0,0,0,0,0,1,0
14,10,0,14.5,1,0,13.0,5.0,32.0,2.0,3020.0,146.0,230,4.111365547,4.487512143,0,0,0,0,0,1,0
15,10,0,16.23,1,0,13.0,8.0,64.0,4.0,4000.0,176.0,248,4.411221293,4.866225902,0,0,0,0,0,1,0
16,10,0,15.9,1,0,13.0,32.0,128.0,6.0,3750.0,172.0,395,5.022366217,5.517934708,0,0,0,0,0,1,0
17,10,0,16.74,1,0,13.0,16.0,64.0,4.0,4000.0,206.0,421,4.777020443,5.193179048,0,0,0,0,0,1,0
18,10,0,14.5,1,0,13.0,5.0,32.0,2.0,3020.0,146.0,532,4.248638089,4.792313433,0,0,0,0,0,1,0
19,10,0,25.43,1,0,5.0,2.0,32.0,3.0,5100.0,173.0,266,4.267877613,5.517051209,0,0,0,0,0,1,0
20,10,0,20.32,1,0,8.0,8.0,32.0,3.0,5100.0,173.0,321,4.556295018,5.304001183,0,0,0,0,0,1,0
21,23,0,20.32,0,0,8.0,0.3,16.0,1.0,5680.0,453.6,933,4.45213555,5.48438191,0,0,0,0,0,0,0
22,9,0,15.29,1,0,13.0,16.0,32.0,3.0,3850.0,170.0,187,4.560800238,5.195730778,0,0,0,0,0,1,0
23,9,0,12.88,1,0,13.0,13.0,64.0,4.0,3075.0,150.0,499,4.595624773,5.39771011,0,0,0,0,0,1,0
24,9,0,15.29,1,0,13.0,8.0,32.0,3.0,3300.0,160.0,497,4.426521875,5.006091654,0,0,0,0,0,1,0
25,9,0,15.24,1,0,13.0,14.5,128.0,6.0,3930.0,180.0,202,5.213467289,6.039968956,0,0,0,0,0,1,0
26,9,0,15.29,1,0,13.0,16.0,64.0,4.0,3850.0,170.0,493,4.636668853,5.631426812,0,0,0,0,0,1,0
27,11,0,15.37,1,1,10.5,16.0,128.0,6.0,4000.0,192.0,91,4.905496976,5.520380334,0,0,0,0,0,0,1
28,11,0,15.37,1,1,10.5,16.0,64.0,6.0,4000.0,182.0,299,4.820442843,5.39603374,0,0,0,0,0,0,1
29,11,0,15.32,1,0,10.5,16.0,128.0,4.0,4000.0,163.0,354,4.577901759,5.558024257,0,0,0,0,0,0,1
30,11,0,15.32,1,0,10.5,16.0,128.0,4.0,4000.0,163.0,306,4.872828107,5.478970866,0,0,0,0,0,0,1
31,11,0,20.32,1,0,5.0,2.0,16.0,2.0,5100.0,310.0,231,4.170533701,4.598246271,0,0,0,0,0,0,1
32,11,0,15.37,1,1,10.5,16.0,128.0,8.0,4000.0,189.0,205,4.709440107,5.765661212,0,0,0,0,0,0,1
33,11,0,25.5,1,0,8.0,8.0,64.0,4.0,7250.0,450.0,211,5.133088887,5.51877732,0,0,0,0,0,0,1
34,11,0,16.71,1,1,10.5,16.0,256.0,8.0,4200.0,226.0,120,6.153455837,7.244220373,0,0,0,0,0,0,1
35,11,0,16.23,1,0,10.5,8.0,64.0,4.0,4000.0,176.0,161,4.644390899,5.0681492,0,0,0,0,0,0,1
36,11,0,25.6,1,1,13.0,8.0,128.0,6.0,7250.0,460.0,139,5.18245748,6.310336373,0,0,0,0,0,0,1
37,11,0,16.23,1,0,10.5,8.0,64.0,4.0,4000.0,176.0,93,4.322143925,4.95342982,0,0,0,0,0,0,1
38,11,0,16.74,1,0,13.0,16.0,128.0,6.0,4000.0,206.0,460,5.065439086,5.672429397,0,0,0,0,0,1,0
39,11,0,15.34,1,0,13.0,16.0,128.0,8.0,4200.0,183.0,223,4.931375613,5.634110801,0,0,0,0,0,1,0
40,11,0,25.6,1,0,13.0,8.0,128.0,6.0,7250.0,460.0,256,4.997685135,6.107267847,0,0,0,0,0,1,0
41,11,0,15.9,1,0,13.0,32.0,64.0,6.0,4000.0,178.0,206,4.99653637,5.294560318,0,0,0,0,0,1,0
42,11,0,15.32,1,0,13.0,16.0,64.0,6.0,4000.0,163.0,488,4.537426534,5.306731865,0,0,0,0,0,1,0
43,11,0,16.23,1,0,13.0,8.0,64.0,4.0,4000.0,176.0,516,4.705286977,5.010968572,0,0,0,0,0,1,0
44,11,0,16.59,1,1,13.0,16.0,512.0,12.0,4500.0,198.0,289,5.674182005,7.438006989,0,0,0,0,0,1,0
45,11,0,16.81,1,1,13.0,16.0,128.0,6.0,4200.0,196.0,477,5.380450196,6.477264628,0,0,0,0,0,1,0
46,11,0,16.81,1,0,13.0,16.0,128.0,6.0,4200.0,196.0,195,5.014826499,6.313729189,0,0,0,0,0,1,0
47,11,0,15.9,1,0,13.0,32.0,128.0,6.0,4000.0,178.0,244,5.143474781,5.67029463,0,0,0,0,0,1,0
48,11,0,16.74,1,0,13.0,16.0,128.0,4.0,4000.0,163.5,376,4.839293241,5.250281918,0,0,0,0,0,1,0
49,11,0,25.6,1,0,13.0,8.0,64.0,4.0,7500.0,498.0,205,4.936629881,5.704781975,0,0,0,0,0,1,0
50,11,0,20.42,1,0,13.0,8.0,128.0,6.0,6100.0,340.0,406,5.294259143,5.856932654,0,0,0,0,0,1,0
51,11,0,20.42,1,0,13.0,8.0,64.0,4.0,6100.0,320.0,462,5.001190835,5.556287375,0,0,0,0,0,1,0
52,11,0,16.23,1,0,13.0,32.0,128.0,8.0,3500.0,171.0,333,5.428204627,5.9652489,0,0,0,0,0,1,0
53,11,0,16.23,1,0,13.0,32.0,128.0,8.0,3500.0,171.0,284,5.378560054,5.885520528,0,0,0,0,0,1,0
54,11,0,15.34,1,0,13.0,24.0,128.0,6.0,4000.0,178.0,202,5.058853866,5.562948291,0,0,0,0,0,1,0
55,11,0,15.34,1,0,13.0,16.0,64.0,4.0,4000.0,178.0,445,5.043683148,5.637785112,0,0,0,0,0,1,0
56,11,0,16.74,1,0,13.0,16.0,64.0,4.0,4000.0,196.8,375,4.607467545,5.638105528,0,0,0,0,0,1,0
57,11,0,10.16,0,0,5.0,2.0,16.0,4.0,1700.0,136.1,666,3.579343567,4.70311326,1,0,0,0,0,0,0
58,11,0,17.78,0,0,3.15,0.3,8.0,1.0,4100.0,350.0,819,3.982295058,5.016551095,0,0,0,0,0,0,0
59,14,0,12.7,0,0,5.0,0.3,8.0,0.5,3000.0,147.6,819,3.495598057,4.113002744,0,0,1,0,0,0,0
