,job_title,salary_in_usd,employee_residence,company_location,experience_level_EX,experience_level_MI,experience_level_SE,employment_type_FL,employment_type_FT,employment_type_PT,company_size_M,company_size_S,work_year_2021,work_year_2022,remote_ratio_50,remote_ratio_100
0,Machine Learning Engineer,130000,US,US,0,1,0,0,1,0,1,0,0,1,0,0
1,Machine Learning Engineer,90000,US,US,0,1,0,0,1,0,1,0,0,1,0,0
2,Data Scientist,120000,US,US,0,1,0,0,1,0,1,0,0,1,0,1
3,Data Scientist,100000,US,US,0,1,0,0,1,0,1,0,0,1,0,1
4,Data Scientist,85000,US,US,0,1,0,0,1,0,1,0,0,1,0,1
5,Data Scientist,78000,US,US,0,1,0,0,1,0,1,0,0,1,0,1
6,Data Engineer,161000,US,US,0,0,1,0,1,0,1,0,0,1,0,1
7,Data Engineer,110000,US,US,0,0,1,0,1,0,1,0,0,1,0,1
8,Data Scientist,136000,US,US,0,0,1,0,1,0,1,0,0,1,0,1
9,Data Scientist,104000,US,US,0,0,1,0,1,0,1,0,0,1,0,1
12,Head of Data,205000,US,US,1,0,0,0,1,0,1,0,0,1,0,0
13,Head of Data,160000,US,US,1,0,0,0,1,0,1,0,0,1,0,0
14,Data Analyst,169000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
15,Data Analyst,110600,US,US,0,0,1,0,1,0,1,0,0,1,0,0
18,Data Engineer,160000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
19,Data Engineer,130000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
20,Data Scientist,245000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
21,Data Scientist,180000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
22,Data Engineer,135000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
23,Data Engineer,100000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
24,Data Engineer,220000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
25,Data Engineer,150000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
26,Data Scientist,198440,US,US,0,0,1,0,1,0,0,0,0,1,0,0
27,Data Scientist,144000,US,US,0,0,1,0,1,0,0,0,0,1,0,0
28,Data Engineer,240000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
29,Data Engineer,170000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
30,Data Scientist,198440,US,US,0,0,1,0,1,0,1,0,0,1,0,0
31,Data Scientist,144000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
32,Data Analyst,150000,US,US,0,1,0,0,1,0,1,0,0,1,0,1
33,Data Analyst,100000,US,US,0,1,0,0,1,0,1,0,0,1,0,1
34,Data Analyst,120000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
35,Data Analyst,95000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
37,Data Analyst,64000,US,US,0,0,0,0,1,0,0,0,0,1,0,1
41,Data Analyst,150000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
42,Data Analyst,127000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
43,Data Engineer,275000,US,US,0,0,1,0,1,0,1,0,0,1,0,1
44,Data Engineer,166000,US,US,0,0,1,0,1,0,1,0,0,1,0,1
45,Data Scientist,159699,US,US,0,0,1,0,1,0,1,0,0,1,0,0
46,Data Scientist,138938,US,US,0,0,1,0,1,0,1,0,0,1,0,0
47,BI Analyst,76000,US,US,0,0,0,0,1,0,0,0,0,1,1,0
48,Data Analyst,166700,US,US,0,0,1,0,1,0,1,0,0,1,0,0
49,Data Analyst,119000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
50,Data Analyst,130000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
51,Data Analyst,100000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
54,Data Analyst,80000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
55,Data Analyst,52500,US,US,0,0,1,0,1,0,1,0,0,1,0,0
56,Data Engineer,236000,US,US,0,0,1,0,1,0,1,0,0,1,0,1
57,Data Engineer,182000,US,US,0,0,1,0,1,0,1,0,0,1,0,1
58,Data Scientist,180000,US,US,0,0,1,0,1,0,1,0,0,1,0,1
59,Data Scientist,140000,US,US,0,0,1,0,1,0,1,0,0,1,0,1
60,Data Scientist,225000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
61,Data Scientist,156400,US,US,0,0,1,0,1,0,1,0,0,1,0,0
62,Data Analyst,135000,US,US,0,0,1,0,1,0,1,0,0,1,0,1
63,Data Analyst,100000,US,US,0,0,1,0,1,0,1,0,0,1,0,1
64,Machine Learning Engineer,204500,US,US,0,0,1,0,1,0,1,0,0,1,0,0
65,Machine Learning Engineer,142200,US,US,0,0,1,0,1,0,1,0,0,1,0,0
66,Research Engineer,240000,US,US,0,1,0,0,1,0,1,0,0,1,0,1
68,Data Engineer,300000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
69,Data Engineer,130000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
70,Data Engineer,195000,US,US,0,0,1,0,1,0,1,0,0,1,0,1
71,Data Engineer,175000,US,US,0,0,1,0,1,0,1,0,0,1,0,1
72,Data Engineer,155000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
73,Data Engineer,110000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
74,Data Operations Analyst,123000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
75,Data Operations Analyst,92250,US,US,0,0,1,0,1,0,1,0,0,1,0,0
76,Data Engineer,170000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
77,Data Engineer,150000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
78,ML Engineer,180000,US,US,0,1,0,0,1,0,1,0,0,1,0,1
79,ML Engineer,100000,US,US,0,1,0,0,1,0,1,0,0,1,0,1
80,Data Engineer,97000,US,US,0,0,1,0,1,0,1,0,0,1,0,1
81,Data Engineer,90000,US,US,0,0,1,0,1,0,1,0,0,1,0,1
82,Data Engineer,200000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
83,Data Engineer,160000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
84,Machine Learning Engineer,210000,US,US,0,0,1,0,1,0,1,0,0,1,0,1
85,Machine Learning Engineer,180000,US,US,0,0,1,0,1,0,1,0,0,1,0,1
86,Data Engineer,260000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
87,Data Engineer,180000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
88,Analytics Engineer,210000,US,US,1,0,0,0,1,0,1,0,0,1,0,1
89,Analytics Engineer,157000,US,US,1,0,0,0,1,0,1,0,0,1,0,1
90,Data Scientist,180000,US,US,0,0,0,0,1,0,1,0,0,1,0,1
91,Data Scientist,100000,US,US,0,0,0,0,1,0,1,0,0,1,0,1
92,Data Analyst,80000,US,US,0,1,0,0,1,0,1,0,0,1,0,0
93,Data Analyst,52500,US,US,0,1,0,0,1,0,1,0,0,1,0,0
94,Data Architect,128000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
95,Data Architect,81500,US,US,0,0,1,0,1,0,1,0,0,1,0,0
96,Data Operations Engineer,105000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
97,Data Operations Engineer,70000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
98,Data Scientist,175000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
99,Data Scientist,122500,US,US,0,0,1,0,1,0,1,0,0,1,0,0
100,Data Engineer,171000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
101,Data Engineer,117000,US,US,0,0,1,0,1,0,1,0,0,1,0,0
102,Data Scientist,202800,US,US,0,0,1,0,1,0,0,0,0,1,0,0
103,Data Scientist,104300,US,US,0,0,1,0,1,0,0,0,0,1,0,0
