,screen_size,4g,5g,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,days_used,normalized_used_price,normalized_new_price,['year']_2014,['year']_2015,['year']_2016,['year']_2017,['year']_2018,['year']_2019,['year']_2020
0,14.5,1,0,13.0,5.0,64.0,3.0,3020.0,146.0,127,4.307572449,4.715100245,0,0,0,0,0,0,1
1,17.3,1,1,13.0,16.0,128.0,8.0,4300.0,213.0,325,5.162096647,5.519017936,0,0,0,0,0,0,1
2,16.69,1,1,13.0,8.0,128.0,8.0,4200.0,213.0,162,5.111083765,5.884630724,0,0,0,0,0,0,1
3,15.32,1,0,13.0,8.0,64.0,3.0,5000.0,185.0,293,4.389994804,4.947837479,0,0,0,0,0,0,1
4,16.23,1,0,13.0,8.0,64.0,4.0,4000.0,176.0,223,4.413888608,5.060694494,0,0,0,0,0,0,1
5,13.84,1,0,8.0,5.0,32.0,2.0,3020.0,144.0,234,3.878259375,4.518958489,0,0,0,0,0,0,1
6,15.77,1,0,13.0,8.0,64.0,4.0,3400.0,164.0,219,4.729421148,5.18872569,0,0,0,0,0,0,1
7,15.32,1,0,13.0,16.0,128.0,6.0,4000.0,165.0,161,4.886054204,5.299916088,0,0,0,0,0,0,1
8,16.23,1,0,13.0,8.0,128.0,6.0,4000.0,176.0,327,4.773223771,5.073610093,0,0,0,0,0,0,1
9,15.47,1,0,13.0,8.0,64.0,3.0,3020.0,150.0,268,4.26703657,4.713665782,0,0,0,0,0,0,1
10,15.32,1,0,13.0,8.0,64.0,4.0,5000.0,185.0,344,4.657383057,4.770176021,0,0,0,0,0,0,1
11,16.69,1,1,13.0,16.0,128.0,8.0,4100.0,206.0,537,5.383255763,6.213967894,0,0,0,0,0,1,0
12,15.32,1,0,13.0,16.0,64.0,4.0,4000.0,171.5,336,4.617592706,5.398750764,0,0,0,0,0,1,0
13,14.5,1,0,13.0,5.0,32.0,2.0,3020.0,146.0,230,4.111365547,4.487512143,0,0,0,0,0,1,0
14,16.23,1,0,13.0,8.0,64.0,4.0,4000.0,176.0,248,4.411221293,4.866225902,0,0,0,0,0,1,0
15,15.9,1,0,13.0,32.0,128.0,6.0,3750.0,172.0,395,5.022366217,5.517934708,0,0,0,0,0,1,0
16,16.74,1,0,13.0,16.0,64.0,4.0,4000.0,206.0,421,4.777020443,5.193179048,0,0,0,0,0,1,0
17,14.5,1,0,13.0,5.0,32.0,2.0,3020.0,146.0,532,4.248638089,4.792313433,0,0,0,0,0,1,0
18,15.29,1,0,13.0,16.0,32.0,3.0,3850.0,170.0,187,4.560800238,5.195730778,0,0,0,0,0,1,0
19,12.88,1,0,13.0,13.0,64.0,4.0,3075.0,150.0,499,4.595624773,5.39771011,0,0,0,0,0,1,0
20,15.29,1,0,13.0,8.0,32.0,3.0,3300.0,160.0,497,4.426521875,5.006091654,0,0,0,0,0,1,0
21,15.24,1,0,13.0,14.5,128.0,6.0,3930.0,180.0,202,5.213467289,6.039968956,0,0,0,0,0,1,0
22,15.29,1,0,13.0,16.0,64.0,4.0,3850.0,170.0,493,4.636668853,5.631426812,0,0,0,0,0,1,0
23,15.37,1,1,10.5,16.0,128.0,6.0,4000.0,192.0,91,4.905496976,5.520380334,0,0,0,0,0,0,1
